uniqueid,_timestamp,source,no_persons,valid_from,valid_to,is_forecast,confidence_lower,confidence_upper,nuts_code
1326,2019-08-25,humdata_exercise,7907,2019-08-25,2020-12-31,False,,,HU
1198,2019-08-29,humdata_exercise,5073,2019-08-29,2020-12-31,False,,,MK
1098,2019-08-17,humdata_exercise,0,2019-08-17,2020-12-31,False,,,IT
1123,2019-09-11,humdata_exercise,224,2019-09-11,2020-12-31,False,,,IT
1349,2019-09-17,humdata_exercise,31,2019-09-17,2020-12-31,False,,,HU
1398,2019-09-22,humdata_exercise,1716,2019-09-22,2020-12-31,False,,,SI
1237,2019-08-24,humdata_exercise,6550,2019-08-24,2020-12-31,False,,,RS
1280,2019-08-23,humdata_exercise,7798,2019-08-23,2020-12-31,False,,,HR
1112,2019-08-31,humdata_exercise,102,2019-08-31,2020-12-31,False,,,IT
1190,2019-08-21,humdata_exercise,4156,2019-08-21,2020-12-31,False,,,MK
1321,2019-08-20,humdata_exercise,5952,2019-08-20,2020-12-31,False,,,HU
1153,2019-08-28,humdata_exercise,6079,2019-08-28,2020-12-31,False,,,EL
1242,2019-08-29,humdata_exercise,5280,2019-08-29,2020-12-31,False,,,RS
1448,2019-09-28,humdata_exercise,6351,2019-09-28,2020-12-31,False,,,AT
1354,2019-09-22,humdata_exercise,8,2019-09-22,2020-12-31,False,,,HU
1252,2019-09-08,humdata_exercise,9000,2019-09-08,2020-12-31,False,,,RS
1139,2019-09-27,humdata_exercise,16,2019-09-27,2020-12-31,False,,,IT
1367,2019-08-22,humdata_exercise,0,2019-08-22,2020-12-31,False,,,SI
1323,2019-08-22,humdata_exercise,6103,2019-08-22,2020-12-31,False,,,HU
1346,2019-09-14,humdata_exercise,18,2019-09-14,2020-12-31,False,,,HU
1489,2019-09-29,sarimax_forecast,0,2019-09-29,2019-10-03,True,0,762,IT
1230,2019-08-17,humdata_exercise,3700,2019-08-17,2020-12-31,False,,,RS
1171,2019-09-15,humdata_exercise,8089,2019-09-15,2020-12-31,False,,,EL
1308,2019-09-20,humdata_exercise,5587,2019-09-20,2020-12-31,False,,,HR
1227,2019-09-27,humdata_exercise,8038,2019-09-27,2020-12-31,False,,,MK
1411,2019-08-22,humdata_exercise,5861,2019-08-22,2020-12-31,False,,,AT
1144,2019-08-19,humdata_exercise,4763,2019-08-19,2020-12-31,False,,,EL
1289,2019-09-01,humdata_exercise,6415,2019-09-01,2020-12-31,False,,,HR
1116,2019-09-04,humdata_exercise,979,2019-09-04,2020-12-31,False,,,IT
1417,2019-08-28,humdata_exercise,5280,2019-08-28,2020-12-31,False,,,AT
1387,2019-09-11,humdata_exercise,6877,2019-09-11,2020-12-31,False,,,SI
1211,2019-09-11,humdata_exercise,6146,2019-09-11,2020-12-31,False,,,MK
1267,2019-09-23,humdata_exercise,7695,2019-09-23,2020-12-31,False,,,RS
1424,2019-09-04,humdata_exercise,6017,2019-09-04,2020-12-31,False,,,AT
1355,2019-09-23,humdata_exercise,9,2019-09-23,2020-12-31,False,,,HU
1107,2019-08-26,humdata_exercise,237,2019-08-26,2020-12-31,False,,,IT
1422,2019-09-02,humdata_exercise,1822,2019-09-02,2020-12-31,False,,,AT
1352,2019-09-20,humdata_exercise,18,2019-09-20,2020-12-31,False,,,HU
1553,2019-09-29,distance_simulation,1,2019-09-29,2019-10-01,True,,,AT13
1157,2019-09-01,humdata_exercise,9063,2019-09-01,2020-12-31,False,,,EL
1141,2019-08-16,humdata_exercise,2631,2019-08-16,2020-12-31,False,,,EL
1382,2019-09-06,humdata_exercise,9339,2019-09-06,2020-12-31,False,,,SI
1439,2019-09-19,humdata_exercise,9930,2019-09-19,2020-12-31,False,,,AT
1446,2019-09-26,humdata_exercise,8169,2019-09-26,2020-12-31,False,,,AT
1191,2019-08-22,humdata_exercise,7816,2019-08-22,2020-12-31,False,,,MK
1365,2019-08-20,humdata_exercise,0,2019-08-20,2020-12-31,False,,,SI
1421,2019-09-01,humdata_exercise,5155,2019-09-01,2020-12-31,False,,,AT
1366,2019-08-21,humdata_exercise,0,2019-08-21,2020-12-31,False,,,SI
1224,2019-09-24,humdata_exercise,11572,2019-09-24,2020-12-31,False,,,MK
1392,2019-09-16,humdata_exercise,7611,2019-09-16,2020-12-31,False,,,SI
1343,2019-09-11,humdata_exercise,7,2019-09-11,2020-12-31,False,,,HU
1309,2019-09-21,humdata_exercise,2809,2019-09-21,2020-12-31,False,,,HR
1404,2019-09-28,humdata_exercise,7397,2019-09-28,2020-12-31,False,,,SI
1396,2019-09-20,humdata_exercise,5426,2019-09-20,2020-12-31,False,,,SI
1358,2019-09-26,humdata_exercise,13,2019-09-26,2020-12-31,False,,,HU
1285,2019-08-28,humdata_exercise,5286,2019-08-28,2020-12-31,False,,,HR
1125,2019-09-13,humdata_exercise,0,2019-09-13,2020-12-31,False,,,IT
1394,2019-09-18,humdata_exercise,5591,2019-09-18,2020-12-31,False,,,SI
1541,2019-09-29,distance_simulation,0,2019-09-29,2019-10-01,True,,,DE12
1185,2019-08-16,humdata_exercise,4370,2019-08-16,2020-12-31,False,,,MK
1432,2019-09-12,humdata_exercise,8336,2019-09-12,2020-12-31,False,,,AT
1174,2019-09-18,humdata_exercise,4689,2019-09-18,2020-12-31,False,,,EL
1400,2019-09-24,humdata_exercise,5341,2019-09-24,2020-12-31,False,,,SI
1290,2019-09-02,humdata_exercise,4390,2019-09-02,2020-12-31,False,,,HR
1146,2019-08-21,humdata_exercise,6496,2019-08-21,2020-12-31,False,,,EL
1113,2019-09-01,humdata_exercise,0,2019-09-01,2020-12-31,False,,,IT
1203,2019-09-03,humdata_exercise,4299,2019-09-03,2020-12-31,False,,,MK
1287,2019-08-30,humdata_exercise,5138,2019-08-30,2020-12-31,False,,,HR
1114,2019-09-02,humdata_exercise,0,2019-09-02,2020-12-31,False,,,IT
1183,2019-09-27,humdata_exercise,3425,2019-09-27,2020-12-31,False,,,EL
1344,2019-09-12,humdata_exercise,4,2019-09-12,2020-12-31,False,,,HU
1360,2019-09-28,humdata_exercise,6,2019-09-28,2020-12-31,False,,,HU
1140,2019-09-28,humdata_exercise,2,2019-09-28,2020-12-31,False,,,IT
1101,2019-08-20,humdata_exercise,0,2019-08-20,2020-12-31,False,,,IT
1340,2019-09-08,humdata_exercise,35,2019-09-08,2020-12-31,False,,,HU
1295,2019-09-07,humdata_exercise,8348,2019-09-07,2020-12-31,False,,,HR
1176,2019-09-20,humdata_exercise,6679,2019-09-20,2020-12-31,False,,,EL
1504,2019-09-29,sarimax_forecast,8655,2019-09-29,2019-10-03,True,4590,12720,RS
1097,2019-08-16,humdata_exercise,343,2019-08-16,2020-12-31,False,,,IT
1431,2019-09-11,humdata_exercise,9390,2019-09-11,2020-12-31,False,,,AT
1216,2019-09-16,humdata_exercise,8584,2019-09-16,2020-12-31,False,,,MK
1397,2019-09-21,humdata_exercise,6655,2019-09-21,2020-12-31,False,,,SI
1407,2019-08-18,humdata_exercise,7100,2019-08-18,2020-12-31,False,,,AT
1368,2019-08-23,humdata_exercise,6,2019-08-23,2020-12-31,False,,,SI
1149,2019-08-24,humdata_exercise,5695,2019-08-24,2020-12-31,False,,,EL
1419,2019-08-30,humdata_exercise,5235,2019-08-30,2020-12-31,False,,,AT
1205,2019-09-05,humdata_exercise,8384,2019-09-05,2020-12-31,False,,,MK
1217,2019-09-17,humdata_exercise,8075,2019-09-17,2020-12-31,False,,,MK
1258,2019-09-14,humdata_exercise,7138,2019-09-14,2020-12-31,False,,,RS
1168,2019-09-12,humdata_exercise,6557,2019-09-12,2020-12-31,False,,,EL
1276,2019-08-19,humdata_exercise,5065,2019-08-19,2020-12-31,False,,,HR
1154,2019-08-29,humdata_exercise,6380,2019-08-29,2020-12-31,False,,,EL
1336,2019-09-04,humdata_exercise,36,2019-09-04,2020-12-31,False,,,HU
1265,2019-09-21,humdata_exercise,1906,2019-09-21,2020-12-31,False,,,RS
1442,2019-09-22,humdata_exercise,4648,2019-09-22,2020-12-31,False,,,AT
1409,2019-08-20,humdata_exercise,6100,2019-08-20,2020-12-31,False,,,AT
1569,2019-09-29,distance_simulation,1222,2019-09-29,2019-10-01,True,,,AT33
1317,2019-08-16,humdata_exercise,3667,2019-08-16,2020-12-31,False,,,HU
1348,2019-09-16,humdata_exercise,14,2019-09-16,2020-12-31,False,,,HU
1306,2019-09-18,humdata_exercise,5573,2019-09-18,2020-12-31,False,,,HR
1279,2019-08-22,humdata_exercise,4446,2019-08-22,2020-12-31,False,,,HR
1413,2019-08-24,humdata_exercise,6700,2019-08-24,2020-12-31,False,,,AT
1248,2019-09-04,humdata_exercise,4650,2019-09-04,2020-12-31,False,,,RS
1201,2019-09-01,humdata_exercise,4988,2019-09-01,2020-12-31,False,,,MK
1320,2019-08-19,humdata_exercise,5925,2019-08-19,2020-12-31,False,,,HU
1266,2019-09-22,humdata_exercise,5397,2019-09-22,2020-12-31,False,,,RS
